year,stateabb,state,binge_female,binge_male,binge_all,poverty
2019,OK,Oklahoma,8.6,17.1,12.7,15.2
2019,OR,Oregon,13.1,22.1,17.5,11.4
2019,PA,Pennsylvania,12.5,21.5,16.9,12.0
2019,PR,Puerto Rico,7.4,19.6,13.1,43.5
2019,RI,Rhode Island,13.8,23.0,18.2,10.8
2019,SC,South Carolina,13.4,18.7,15.9,13.8
2019,SD,South Dakota,16.1,26.4,21.2,11.9
2019,TN,Tennessee,10.0,19.1,14.4,13.9
2019,TX,Texas,12.0,24.2,17.9,13.6
2019,US,United States,12.4,21.6,16.8,12.3
2019,UT,Utah,8.0,14.5,11.2,8.9
2019,VA,Virginia,11.2,19.7,15.3,9.9
2019,VI,Virgin Islands,,,,
2019,VT,Vermont,14.3,22.5,18.3,10.2
2019,WA,Washington,10.4,17.9,14.1,9.8
2019,WI,Wisconsin,16.5,27.7,21.9,10.4
2019,WV,West Virginia,7.2,17.8,12.4,16.0
2019,WY,Wyoming,12.9,22.4,17.7,10.1
2020,AK,Alaska,13.2,22.1,17.9,
2020,AL,Alabama,8.7,18.1,13.2,
2020,AR,Arkansas,11.1,18.0,14.4,
2020,AZ,Arizona,10.0,18.8,14.3,
2020,CA,California,11.4,20.8,16.0,
2020,CO,Colorado,14.2,21.7,17.9,
2020,CT,Connecticut,11.7,17.0,14.3,
2020,DC,District of Columbia,20.8,24.8,22.7,
2020,DE,Delaware,9.8,19.3,14.3,
2020,FL,Florida,10.2,17.1,13.5,
2020,GA,Georgia,11.0,17.1,13.9,
2020,GU,Guam,8.0,24.2,16.2,
2020,HI,Hawaii,10.5,20.9,15.7,
2020,IA,Iowa,14.9,28.2,21.5,
2020,ID,Idaho,10.8,18.1,14.4,
2020,IL,Illinois,9.5,16.7,13.0,
2020,IN,Indiana,11.2,20.5,15.7,
2020,KS,Kansas,12.1,22.2,17.1,
2020,KY,Kentucky,9.1,20.1,14.4,
2020,LA,Louisiana,12.4,25.6,18.6,
2020,MA,Massachusetts,11.6,20.3,15.7,
2020,MD,Maryland,9.5,15.5,12.3,
2020,ME,Maine,10.2,18.8,14.4,
2020,MI,Michigan,13.1,22.0,17.4,
2020,MN,Minnesota,14.3,22.6,18.4,
2020,MO,Missouri,13.2,20.7,16.8,
2020,MS,Mississippi,8.8,18.6,13.4,
2020,MT,Montana,14.7,24.7,19.7,
2020,NC,North Carolina,10.5,18.1,14.1,
2020,ND,North Dakota,16.3,25.2,20.8,
2020,NE,Nebraska,14.4,26.6,20.4,
2020,NH,New Hampshire,12.5,19.8,16.0,
2020,NJ,New Jersey,11.7,19.1,15.2,
2020,NM,New Mexico,8.5,20.3,14.2,
2020,NV,Nevada,12.4,22.1,17.1,
2020,NY,New York,11.2,18.4,14.7,
2020,OH,Ohio,12.7,20.1,16.3,
2020,OK,Oklahoma,7.6,16.0,11.6,
2020,OR,Oregon,12.0,20.6,16.2,
2020,PA,Pennsylvania,12.7,21.1,16.8,
2020,PR,Puerto Rico,6.7,19.7,12.7,
2020,RI,Rhode Island,10.8,19.9,15.1,
2020,SC,South Carolina,10.8,21.0,15.7,
2020,SD,South Dakota,11.7,24.0,17.9,
2020,TN,Tennessee,9.7,18.9,14.1,
2020,TX,Texas,10.8,22.4,16.4,
2020,US,United States,11.4,20.3,15.7,
2020,UT,Utah,8.0,14.7,11.3,
2020,VA,Virginia,10.4,19.5,14.8,
2020,VI,Virgin Islands,,,,
2020,VT,Vermont,13.1,22.4,17.6,
2020,WA,Washington,12.7,18.1,15.4,
2020,WI,Wisconsin,17.5,28.3,22.8,
2020,WV,West Virginia,7.4,15.2,11.2,
2020,WY,Wyoming,12.0,20.5,16.4,
2021,AK,Alaska,14.3,20.5,17.5,
2021,AL,Alabama,8.2,17.3,12.5,
2021,AR,Arkansas,8.7,17.1,12.7,
2021,AZ,Arizona,11.4,20.4,15.9,
2021,CA,California,11.2,18.8,15.0,
2021,CO,Colorado,14.2,23.2,18.7,
2021,CT,Connecticut,11.0,16.5,13.6,
2021,DC,District of Columbia,18.8,26.7,22.5,
2021,DE,Delaware,9.7,16.4,12.9,
2021,FL,Florida,,,,
2021,GA,Georgia,9.5,20.0,14.5,
2021,GU,Guam,12.1,21.7,17.1,
2021,HI,Hawaii,12.3,21.0,16.6,
2021,IA,Iowa,14.3,26.1,20.1,
2021,ID,Idaho,11.0,17.2,14.0,
2021,IL,Illinois,11.4,18.5,14.8,
2021,IN,Indiana,11.8,19.3,15.4,
2021,KS,Kansas,13.4,22.1,17.7,
2021,KY,Kentucky,9.0,16.6,12.6,
2021,LA,Louisiana,13.3,21.5,17.2,
2021,MA,Massachusetts,13.1,19.7,16.2,
2021,MD,Maryland,10.0,16.3,13.0,
2021,ME,Maine,10.5,20.4,15.3,
2021,MI,Michigan,12.3,20.2,16.1,
2021,MN,Minnesota,13.9,21.9,17.9,
2021,MO,Missouri,11.5,22.0,16.6,
2021,MS,Mississippi,8.0,17.6,12.5,
2021,MT,Montana,15.4,25.6,20.5,
2021,NC,North Carolina,11.1,19.9,15.3,
2021,ND,North Dakota,15.0,26.3,20.8,
2021,NE,Nebraska,14.3,24.8,19.5,
2021,NH,New Hampshire,11.0,18.3,14.6,
2021,NJ,New Jersey,11.0,18.5,14.6,
2021,NM,New Mexico,9.7,16.8,13.2,
2021,NV,Nevada,8.6,16.9,12.7,
2021,NY,New York,11.5,18.6,14.9,
2021,OH,Ohio,13.5,20.3,16.8,
2021,OK,Oklahoma,7.5,16.6,11.9,
2021,OR,Oregon,11.3,20.5,15.8,
2021,PA,Pennsylvania,12.1,18.8,15.3,
2021,PR,Puerto Rico,7.5,17.8,12.2,
2021,RI,Rhode Island,12.8,22.2,17.3,
2021,SC,South Carolina,10.9,19.5,15.0,
2021,SD,South Dakota,14.8,24.4,19.6,
2021,TN,Tennessee,10.3,18.5,14.2,
2021,TX,Texas,12.0,21.1,16.4,
2021,US,United States,11.5,19.6,15.4,
2021,UT,Utah,8.4,15.1,11.7,
2021,VA,Virginia,12.5,18.5,15.4,
2021,VI,Virgin Islands,7.7,18.4,12.6,
2021,VT,Vermont,13.8,20.2,17.0,
2021,WA,Washington,11.7,18.9,15.2,
2021,WI,Wisconsin,17.9,25.9,21.9,
2021,WV,West Virginia,7.0,16.5,11.6,
2021,WY,Wyoming,12.5,19.3,15.9,
